,direction
0,21.03.02 Землеустройство и кадастры
1,43.03.00 Сервис и туризм
2,28.03.03 Наноматериалы
3,21.05.01 Прикладная геодезия
4,15.03.04 Автоматизация технологических процессов и производств
5,18.03.01 Химическая технология
6,08.03.01 Строительство
7,08.05.00 Техника и технологии строительства
8,21.03.01 Нефтегазовое дело
9,27.03.04 Управление в технических системах
10,20.03.01 Техносферная безопасность
11,"21.05.00 Прикладная геология, горное дело, нефтегазовое дело и геодезия"
12,13.03.02 Электроэнергетика и электротехника
13,27.03.03 Системный анализ и управление
14,09.03.00 Информатика и вычислительная техника
15,15.03.06 Мехатроника и робототехника
16,07.03.03 Дизайн архитектурной среды
17,27.03.00 Управление в технических системах
18,41.03.06 Публичная политика и социальные науки
19,18.03.00 Химические технологии
20,05.03.01 Геология
21,07.03.01 Архитектура
22,54.03.01 Дизайн
23,23.05.01 Наземные транспортно-технологические средства
24,13.03.01 Теплоэнергетика и теплотехника
25,12.03.01 Приборостроение
26,12.03.04 Биотехнические системы и технологии
27,38.03.05 Бизнес-информатика
28,19.03.04 Технология продукции и организация общественного питания
29,01.03.02 Прикладная математика и информатика
30,38.03.06 Торговое дело
31,15.03.03 Прикладная механика
32,38.03.03 Управление персоналом
33,15.03.01 Машиностроение
34,23.03.01 Технология транспортных процессов
35,22.03.01 Материаловедение и технологии материалов
36,42.03.01 Реклама и связи с общественностью
