,Направление подготовки 2025,Направление подготовки
0,21.03.02 Землеустройство и кадастры (Городской кадастр; Кадастр недвижимости),"21.03.02 Землеустройство и кадастры,"
1,43.03.01 Сервис (Экономика сервисного предприятия и организация постпродажного обслуживания); 43.03.03. Гостиничное дело (Индустрия гостеприимства и туризма),"43.03.00 Сервис и туризм,"
2,28.03.03 Наноматериалы,"28.03.03 Наноматериалы,"
3,21.05.01 Прикладная геодезия (Инженерно-геодезические изыскания),"21.05.01 Прикладная геодезия,"
4,15.03.04 Автоматизация технологических процессов и производств (Автоматизация технологических процессов и производств в нефтяной и газовой промышленности),"15.03.04 Автоматизация технологических процессов и производств,"
5,"08.03.01 Строительство (Промышленное и гражданское строительство; Производство и применение строительных материалов, изделий и конструкций; Водоснабжение и водоотведение; Теплогазоснабжение и вентиляция; Автомобильные дороги; Организация инвестиционно-строительной деятельности; Объекты транспортной инфраструктуры)","08.03.01 Строительство,"
6,08.05.01 Строительство уникальных зданий и сооружений (Строительство высотных и большепролётных зданий и сооружений),"08.05.00 Техника и технологии строительства,"
7,27.03.04 Управление в технических системах (Интеллектуальные системы и средства АУ),"27.03.04 Управление в технических системах,"
8,20.03.01 Техносферная безопасность (Безопасность технологических процессов и производств; Инженерная защита окружающей среды),"20.03.01 Техносферная безопасность,"
9,21.05.02 Прикладная геология (Геология месторождений нефти и газа; Поиски и разведка подземных вод и инженерно-геологические изыскания); 21.05.03 Технология геологической разведки (Геофизические методы поиска и разведки месторождений полезных ископаемых; Геофизические методы исследования скважин),"21.05.00 Прикладная геология, горное дело, нефтегазовое дело и геодезия,"
10,21.05.04 Горное дело (Маркшейдерское дело); 21.05.06 Нефтегазовые техника и технологии (Технология бурения нефтяных и газовых скважин; Разработка и эксплуатация нефтяных и газовых месторождений; Магистральные трубопроводы и газонефтехранилища),"21.05.00 Прикладная геология, горное дело, нефтегазовое дело и геодезия,"
11,13.03.02 Электроэнергетика и электротехника (Электроснабжение; Электропривод и автоматика),"13.03.02 Электроэнергетика и электротехника,"
12,27.03.03 Системный анализ и управление (Управление экономикой предприятий ТЭК; Системный анализ и управление социальными и экономическими процессами),"27.03.03 Системный анализ и управление,"
13,09.03.01 Информатика и вычислительная техника (Автоматизированные системы обработки информации и управления; Информационная безопасность компьютерных систем и сетей); 09.03.02 Информационные системы и технологии (Искусственный интеллект и программирование; Интеллектуальные системы и технологии «Умный город»; Информационные системы и технологии в геологии и нефтегазовой отрасли; Технология разработки и сопровождения программного продукта); 09.03.04 Программная инженерия (Разработка программно-информационных систем),"09.03.00 Информатика и вычислительная техника,"
14,15.03.06 Мехатроника и робототехника (Робототехника и гибкие производственные модули),"15.03.06 Мехатроника и робототехника,"
15,07.03.03 Дизайн архитектурной среды (Проектирование городской среды; Проектирование интерьера),"07.03.03 Дизайн архитектурной среды,"
16,"27.03.01 Стандартизация и метрология (Стандартизация, метрология и управление качеством в отраслях топливно-энергетического комплекса); 27.03.05 Инноватика (Управление инновациями в промышленности (машиностроение))","27.03.00 Управление в технических системах,"
18,"18.03.01 Химическая технология; 18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии","18.03.00 Химические технологии,"
19,05.03.01 Геология (Инженерная геология и геокриология нефтегазоносных регионов),"05.03.01 Геология,"
20,07.03.01 Архитектура (Архитектурное проектирование; Архитектурно-градостроительное проектирование),"07.03.01 Архитектура,"
21,54.03.01 Дизайн (Графический дизайн),"54.03.01 Дизайн,"
22,"23.05.01 Наземные транспортно-технологические средства (Подъёмно-транспортные, строительные, дорожные средства и оборудование; Автомобильная техника в транспортных технологиях)","23.05.01 Наземные транспортно-технологические средства,"
23,13.03.01 Теплоэнергетика и теплотехника (Промышленная теплоэнергетика),"13.03.01 Теплоэнергетика и теплотехника,"
24,"12.03.01 Приборостроение (Приборы, методы контроля качества и диагностики)","12.03.01 Приборостроение,"
25,12.03.04 Биотехнические системы и технологии (Биотехнические и медицинские аппараты и системы),"12.03.04 Биотехнические системы и технологии,"
26,38.03.05 Бизнес-информатика (Информационные системы предприятия),"38.03.05 Бизнес-информатика,"
27,19.03.04 Технология продукции и организация общественного питания (Технология и организация ресторанного дела),"19.03.04 Технология продукции и организация общественного питания,"
28,01.03.02 Прикладная математика и информатика (Прикладное программирование и компьютерные технологии),"01.03.02 Прикладная математика и информатика,"
30,15.03.03 Прикладная механика (Моделирование механических систем и процессов),"15.03.03 Прикладная механика,"
31,38.03.03 Управление персоналом (Управление персоналом высокотехнологичных производств),"38.03.03 Управление персоналом,"
32,15.03.01 Машиностроение (Системы автоматизир. проектирования и технологической подготовки производства),"15.03.01 Машиностроение,"
33,23.03.01 Технология транспортных процессов (Логистика и управление цепями поставок),"23.03.01 Технология транспортных процессов,"
34,22.03.01 Материаловедение и технологии материалов (Экспертиза и контроль материалов промышленных объектов),"22.03.01 Материаловедение и технологии материалов,"
35,42.03.01 Реклама и связи с общественностью (Диджитал маркетинг),"42.03.01 Реклама и связи с общественностью,"
36,"21.03.01 Нефтегазовое дело (Бурение нефтяных и газовых скважин; Проектирование, сооружение и эксплуатация нефтегазотранспортных систем; Управление и эксплуатация объектов транспорта и хранения углеводородов; Эксплуатация и обслуживание объектов добычи газа, газоконденсата и подземных хранилищ; Эксплуатация и обслуживание объектов добычи нефти; Эксплуатация и обслуживание технологических объектов нефтегазового производства)"," 21.03.01 Нефтегазовое дело,"
