,Направление подготовки,ID
0,21.03.02 Землеустройство и кадастры,0
1,43.03.00 Сервис и туризм,1
2,28.03.03 Наноматериалы,2
3,21.05.01 Прикладная геодезия,3
4,15.03.04 Автоматизация технологических процессов и производств,4
5,18.03.01 Химическая технология,5
6,08.03.01 Строительство,6
7,08.05.00 Техника и технологии строительства,7
8,21.03.01 Нефтегазовое дело,8
9,27.03.04 Управление в технических системах,9
11,20.03.01 Техносферная безопасность,10
13,"21.05.00 Прикладная геология, горное дело, нефтегазовое дело и геодезия",11
14,13.03.02 Электроэнергетика и электротехника,12
15,27.03.03 Системный анализ и управление,13
17,09.03.00 Информатика и вычислительная техника,14
28,15.03.06 Мехатроника и робототехника,15
29,07.03.03 Дизайн архитектурной среды,16
34,27.03.00 Управление в технических системах,17
35,41.03.06 Публичная политика и социальные науки,18
40,18.03.00 Химические технологии,19
45,05.03.01 Геология,20
63,07.03.01 Архитектура,21
65,54.03.01 Дизайн,22
81,23.05.01 Наземные транспортно-технологические средства,23
91,13.03.01 Теплоэнергетика и теплотехника,24
93,12.03.01 Приборостроение,25
94,12.03.04 Биотехнические системы и технологии,26
108,38.03.05 Бизнес-информатика,27
115,19.03.04 Технология продукции и организация общественного питания,28
156,01.03.02 Прикладная математика и информатика,29
185,38.03.06 Торговое дело,30
239,15.03.03 Прикладная механика,31
240,38.03.03 Управление персоналом,32
250,15.03.01 Машиностроение,33
277,23.03.01 Технология транспортных процессов,34
282,22.03.01 Материаловедение и технологии материалов,35
430,42.03.01 Реклама и связи с общественностью,36
