,Направление подготовки,Сумма баллов,Год
0,01.03.02 Прикладная математика и информатика,200,2020
1,02.03.01 Математика и компьютерные науки,178,2020
2,05.03.01 Геология,156,2020
3,07.03.01 Архитектура,289,2020
4,07.03.03 Дизайн архитектурной среды,291,2020
5,08.03.01 Строительство,152,2020
6,08.05.01 Строительство уникальных зданий и сооружений,212,2020
7,"08.05.02 Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей",161,2020
8,09.03.01 Информатика и вычислительная техника,159,2020
9,09.03.02 Информационные системы и технологии,142,2020
10,12.03.01 Приборостроение,177,2020
11,12.03.04 Биотехнические системы и технологии,164,2020
12,13.03.01 Теплоэнергетика и теплотехника,178,2020
13,13.03.02 Электроэнергетика и электротехника,229,2020
14,15.03.01 Машиностроение,152,2020
15,15.03.04 Автоматизация технологических процессов и производств,205,2020
16,15.03.06 Мехатроника и робототехника,188,2020
17,18.03.01 Химическая технология,151,2020
18,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",142,2020
19,19.03.04 Технология продукции и организация общественного питания,169,2020
20,20.03.01 Техносферная безопасность,164,2020
21,21.03.01 Нефтегазовое дело,206,2020
22,21.03.02 Землеустройство и кадастры,158,2020
23,21.05.01 Прикладная геодезия,162,2020
24,21.05.02 Прикладная геология,172,2020
25,21.05.03 Технология геологической разведки,148,2020
26,22.03.01 Материаловедение и технологии материалов,144,2020
27,23.03.01 Технология транспортных процессов,203,2020
28,23.03.02 Наземные транспортно-технологические комплексы,190,2020
29,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,194,2020
30,23.05.01 Наземные транспортно-технологические средства,188,2020
31,27.03.01 Стандартизация и метрология,157,2020
32,27.03.03 Системный анализ и управление,156,2020
33,27.03.04 Управление в технических системах,150,2020
34,27.03.05 Инноватика,172,2020
35,43.03.01 Сервис,242,2020
36,43.03.03 Гостиничное дело,199,2020
37,45.03.04 Интеллектуальные системы в гуманитарной сфере,215,2020
